0.709510393504
[0.         0.05555556 0.10784314 0.16176471 0.25816993 0.38562092
 0.5130719  1.        ]
[0.         0.2757732  0.38917526 0.49484536 0.58247423 0.69845361
 0.77835052 1.        ]
thresholds
[2.         1.         0.83333333 0.66666667 0.5        0.33333333
 0.16666667 0.        ]
total detection
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.5 0.5]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.33333333 0.66666667]
[0.5 0.5]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.33333333 0.66666667]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.5 0.5]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.5 0.5]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[0.33333333 0.66666667]
[0.5 0.5]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.5 0.5]
[0.16666667 0.83333333]
[0. 1.]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[0.5 0.5]
[0.83333333 0.16666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0. 1.]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0.83333333 0.16666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0.5 0.5]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.5 0.5]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0.5 0.5]
[0.33333333 0.66666667]
[0.5 0.5]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.5 0.5]
[0.5 0.5]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.66666667 0.33333333]
[0.5 0.5]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0. 1.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.5 0.5]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0.5 0.5]
[0.83333333 0.16666667]
[0.5 0.5]
[0.5 0.5]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0. 1.]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.5 0.5]
[0.16666667 0.83333333]
[0. 1.]
[0.16666667 0.83333333]
[0.5 0.5]
[0.5 0.5]
[1. 0.]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0. 1.]
[0. 1.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[0.5 0.5]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.5 0.5]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0. 1.]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.5 0.5]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.5 0.5]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.66666667 0.33333333]
[0.5 0.5]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.16666667 0.83333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.5 0.5]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.5 0.5]
[0.5 0.5]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.83333333 0.16666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[0. 1.]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0. 1.]
[0.33333333 0.66666667]
[1. 0.]
[1. 0.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.5 0.5]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.33333333 0.66666667]
[0. 1.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.33333333 0.66666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.33333333 0.66666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.5 0.5]
[1. 0.]
[1. 0.]
[0.33333333 0.66666667]
[0.5 0.5]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.5 0.5]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0. 1.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.5 0.5]
[0.5 0.5]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0.5 0.5]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[0. 1.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.5 0.5]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.5 0.5]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0. 1.]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.5 0.5]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0. 1.]
[0. 1.]
[0. 1.]
[0.16666667 0.83333333]
[0. 1.]
[0.33333333 0.66666667]
[0.16666667 0.83333333]
[0.33333333 0.66666667]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.16666667 0.83333333]
[0.5 0.5]
[0.33333333 0.66666667]
[0.5 0.5]
[0.5 0.5]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.5 0.5]
[0.5 0.5]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.5 0.5]
[0.66666667 0.33333333]
[0.5 0.5]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[1. 0.]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.33333333 0.66666667]
[0.5 0.5]
[1. 0.]
[1. 0.]
[0.83333333 0.16666667]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.83333333 0.16666667]
[0.5 0.5]
[0.66666667 0.33333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.5 0.5]
[0.83333333 0.16666667]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
[0.16666667 0.83333333]
[1. 0.]
[1. 0.]
[1. 0.]
[1. 0.]
[0.66666667 0.33333333]
predicted value
0
0
0
0
0
0
0
0
1
0
0
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
1
0
1
1
1
1
1
1
1
0
0
1
1
1
1
1
1
1
1
1
1
0
0
1
1
0
1
0
0
1
1
1
1
1
1
1
0
0
1
1
1
1
1
1
1
1
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
1
1
1
1
1
1
0
1
1
1
1
1
0
1
1
1
1
1
1
1
1
1
1
1
0
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
1
0
0
0
0
0
1
0
0
1
1
1
1
1
1
0
0
1
1
1
1
1
1
1
1
1
1
0
0
0
1
0
1
1
1
1
1
1
1
1
1
1
0
0
0
0
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
1
1
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
1
1
1
0
0
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
1
0
1
0
0
0
0
0
0
0
1
1
1
1
0
0
0
0
0
0
1
1
1
1
1
1
0
0
0
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
1
1
0
1
1
1
1
1
1
1
1
0
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
1
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
1
1
1
1
1
1
1
1
1
1
0
0
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
1
1
1
0
0
0
1
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
1
1
1
1
1
1
1
1
1
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
0
0
0
0
0
0
0
1
1
0
0
0
1
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
1
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
True value
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
